Node,Check,Kanton,PLZ,Ort,Gebiet,Vermehrungstyp,Herkunft,Pflanzjahr,Lat-WGS84,Lon-WGS84,CHY-LV95,CHX-LV95,BHU,BHD,Datum,Hauptinfo,SEBA,Erhaltungs-Plantage_Biel_Nr,DNA_Probe,Fruechte,Verluste_Erklaerung,Reiser,Bemerkung
12062066330,ja,AG,5000,Aarau,Forstwerkhofgross,planted,,2009,47.376679,8.0508444,2646236,1247496,47,15,Juli 2024,"Einwohnergemeinde: Wirz Roger, Rathausgasse 1, 5000 Aarau
Dick Martin",,,,,,,
12062075387,ja,AG,5000,Aarau,Forstwerkhofklein,planted,,,47.3766946,8.0508,2646233,1247497,3,1,Juli 2024,"Einwohnergemeinde: Wirz Roger, Rathausgasse 1, 5000 Aarau
Dick Martin",,,,,,,
9044264011,ja,AG,5000,Aarau,Roggenhausen,planted,,,47.3759854,8.0317034,2644791,1247408,73,23,August 2021,Internet  Arboretum Roggenhausen,,,,Fruechte 2021 wenig,,,
12392082075,ja,AG,5400,Baden,Aegerten01,planted,,,47.46936,8.27674,2663185,1257958,82,26,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12392070287,ja,AG,5400,Baden,Aegerten02,planted,,,47.46924,8.27579,2663114,1257944,57,18,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12392103867,ja,AG,5400,Baden,Aegerten03,planted,,,47.46937,8.27459,2663023,1257957,40,13,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12392368545,ja,AG,5400,Baden,Aegerten04,planted,,,47.46931,8.27434,2663005,1257950,32,10,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12407543427,ja,AG,5400,Baden,Allmendstrasse,planted,,,47.47375,8.30165,2665058,1258466,60,19,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",BHU geschätzt,,,,,,
12407313573,ja,AG,5400,Baden,Belvedere-Mitte,planted,,,47.4735976,8.3025603,2665127,1258450,24,8,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12407348286,ja,AG,5400,Baden,Belvedere-Ost,planted,,,47.4735864,8.3026071,2665131,1258499,20,6,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12407391174,ja,AG,5400,Baden,Belvedere-West,planted,,,47.4736068,8.3025177,2665124,1258451,36,11,Dezember 2024,"Stadtoekologie Baden, Moser Pius, Martin Dick",,,,,,,
12137350516,ja,AG,5400,Baden,Martinsberg01,planted,,,47.4793839,8.2970593,2664705,1259088,45,14,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137350517,ja,AG,5400,Baden,Martinsberg02,planted,,,47.4794513,8.2971049,2664708,1259096,50,16,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137428790,ja,AG,5400,Baden,Martinsberg03,planted,,,47.4795015,8.2970167,2664702,1259102,40,13,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137425163,ja,AG,5400,Baden,Martinsberg04,planted,,,47.4795776,8.2970704,2664706,1259110,22,7,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137481174,ja,AG,5400,Baden,Martinsberg05,planted,,,47.4795377,8.2971508,2664712,1259106,30,10,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137488078,ja,AG,5400,Baden,Martinsberg06,planted,,,47.479438,8.2969738,2664698,1259095,18,6,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137518227,ja,AG,5400,Baden,Martinsberg07,planted,,,47.4795431,8.2973178,2664725,1259106,26,8,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
12137700923,ja,AG,5400,Baden,Martinsberg08,planted,,,47.4792974,8.2971908,2664715,1259079,19,6,August 2024,Infoflora 4535654 Stadtoekologie Baden,,,,,,,
